Characteristics,City of Ottawa,Orléans East-Cumberland - Ward 1,Orléans West-Innes - Ward 2,Barrhaven West - Ward 3,Kanata North - Ward 4,West Carleton-March - Ward 5,Stittsville - Ward 6,Bay - Ward 7,College - Ward 8,Knoxdale-Merivale -Ward 9,Gloucester-Southgate - Ward 10,Beacon Hill-Cyrville - Ward 11,Rideau-Vanier - Ward 12,Rideau-Rockcliffe - Ward 13,Somerset - Ward 14,Kitchissippi - Ward 15,River -Ward 16,Capital - Ward 17,Alta Vista - Ward 18,Orléans South-Navan - Ward 19,Osgoode - Ward 20,Rideau-Jock - Ward 21,Riverside South-Findlay Creek - Ward 22,Kanata South - Ward 23,Barrhaven East - Ward 24
"  $80,000 to $89,999",24065,1155,1120,1040,805,410,710,1355,1385,1125,1135,940,1505,1070,1620,955,1215,930,1160,965,440,480,495,1055,995
"  $90,000 to $99,999",23110,1060,1195,1040,820,430,930,1200,1330,895,1170,935,1295,930,1330,995,1010,885,940,865,585,580,535,1175,985
"  $100,000 and over",208640,11655,10470,10840,9540,6090,11010,8495,9745,7600,7735,6225,6675,6785,7940,9265,8205,8285,7840,11295,7180,6575,7550,11190,10445
"    $100,000 to $124,999",50815,2865,2510,2415,2025,1055,2120,2495,2710,2215,2195,1865,2285,1765,2535,1935,2305,1585,2080,2480,1340,1200,1550,2865,2395
"    $125,000 to $149,999",40100,2325,2330,1985,1655,1125,2085,1675,2000,1390,1790,1260,1460,1255,1745,1440,1660,1365,1425,2070,1210,1115,1520,2230,1990
"    $150,000 to $199,999",54650,3240,2860,3205,2300,1440,3170,2015,2395,1930,2015,1620,1510,1720,1905,2105,1995,1840,1885,3380,1995,1785,2105,3200,3050
"    $200,000 and over",63075,3225,2770,3235,3565,2465,3640,2310,2640,2065,1735,1480,1420,2050,1755,3785,2245,3485,2450,3365,2640,2470,2370,2890,3020
Total - Household after-tax income groups in 2020 for private households - 25% sample data,407255,18200,17680,16775,15020,9105,15900,22275,20900,15740,18010,13445,24775,17350,25130,18230,19630,17570,18715,16610,10815,10045,10760,17940,16625
"  Under $5,000",4900,90,125,115,175,65,115,310,280,170,215,75,675,235,560,230,285,470,260,70,65,45,60,110,105
"  $5,000 to $9,999",2305,0,35,35,60,0,45,155,105,70,70,60,325,170,315,125,185,180,150,25,50,30,15,30,45
"  $10,000 to $14,999",4870,90,30,60,95,70,60,305,195,150,250,120,750,370,785,275,285,285,330,55,65,60,30,80,65
"  $15,000 to $19,999",6335,85,105,120,130,75,80,480,225,185,310,170,985,475,820,410,410,330,375,90,95,45,75,135,130
"  $20,000 to $24,999",12020,185,225,180,220,180,125,985,600,395,610,325,1690,820,1475,750,690,665,830,220,135,150,90,255,205
"  $25,000 to $29,999",10285,200,255,150,170,150,160,870,485,435,535,375,1345,615,1230,590,690,430,595,145,185,155,125,185,205
"  $30,000 to $34,999",11620,290,305,210,250,145,140,1020,650,470,600,350,1275,745,1255,495,815,670,770,230,140,190,115,245,245
"  $35,000 to $39,999",12375,325,375,315,365,155,265,1030,780,505,715,405,1185,725,1105,550,870,550,775,230,165,185,170,350,285
"  $40,000 to $44,999",13040,395,450,260,310,200,335,1035,735,530,700,545,1270,785,1030,565,780,575,785,315,265,210,175,480,315
"  $45,000 to $49,999",13995,465,550,380,280,225,300,1100,860,575,700,570,1280,775,1145,605,905,690,780,285,260,210,175,465,425
"  $50,000 to $59,999",29495,1100,1205,935,850,405,745,2060,1675,1325,1415,1170,2430,1425,2585,1310,1675,1375,1595,790,505,580,415,1020,900
"  $60,000 to $69,999",29730,1090,1240,1045,955,470,885,1910,1830,1305,1555,1140,2200,1480,2105,1270,1510,1250,1440,1035,640,490,625,1105,1160
"  $70,000 to $79,999",29420,1420,1320,1295,990,540,955,1600,1550,1180,1455,1105,1795,1210,2025,1235,1495,1260,1365,1045,615,700,695,1360,1205
"  $80,000 to $89,999",27935,1240,1505,1245,1050,480,1155,1310,1630,1190,1320,1085,1525,1130,1655,1130,1180,980,1100,1290,700,635,700,1430,1265
"  $90,000 to $99,999",26680,1555,1335,1310,1110,595,1090,1325,1395,1130,1155,1010,1225,915,1210,1020,1245,815,1135,1225,670,640,830,1565,1200
"  $100,000 and over",172255,9665,8620,9130,8000,5330,9450,6775,7915,6125,6410,4960,4825,5485,5825,7675,6620,7055,6415,9545,6265,5730,6460,9120,8865
"    $100,000 to $124,999",54135,3230,2840,2710,2170,1460,2675,2405,2780,2040,2480,1780,1945,1745,2340,1895,2250,1795,2125,2770,1685,1490,1845,2975,2720
"    $125,000 to $149,999",39715,2295,2145,2295,1610,1030,2190,1470,1750,1380,1545,1195,1175,1275,1360,1545,1510,1435,1280,2400,1415,1315,1605,2305,2195
"    $150,000 and over",78410,4140,3630,4120,4220,2840,4590,2900,3390,2700,2385,1980,1700,2470,2130,4240,2860,3825,3015,4380,3160,2925,3005,3840,3955
Total - Private households by tenure - 25% sample data,407255,18200,17680,16775,15020,9105,15900,22275,20900,15740,18010,13445,24775,17350,25130,18230,19630,17570,18715,16610,10815,10045,10760,17940,16625
Owner,260225,16155,14660,14195,11085,8535,13425,9980,13605,9680,10775,8925,6775,7735,6215,9350,10585,8410,9600,13980,9820,9120,9400,15165,13045
Renter,147030,2040,3020,2580,3935,570,2480,12290,7295,6065,7235,4520,18005,9615,18915,8875,9045,9160,9115,2625,995,925,1360,2770,3585
,,14115,11640,11615,7150,7965,10945,-2310,6310,3615,3540,4405,-11230,-1880,-12700,475,1540,-750,485,11355,8825,8195,8040,12395,9460
,30501.05263,1466.315789,1383.947368,1363.684211,1211.052632,758.6842105,1334.736842,1528.684211,1517.368421,1150.526316,1285.526316,969.4736842,1557.894737,1202.631579,1629.210526,1363.947368,1382.105263,1296.578947,1322.105263,1376.052632,898.9473684,830.7894737,905.7894737,1423.947368,
