Characteristics,City of Ottawa,Orléans East-Cumberland - Ward 1,Orléans West-Innes - Ward 2,Barrhaven West - Ward 3,Kanata North - Ward 4,West Carleton-March - Ward 5,Stittsville - Ward 6,Bay - Ward 7,College - Ward 8,Knoxdale-Merivale -Ward 9,Gloucester-Southgate - Ward 10,Beacon Hill-Cyrville - Ward 11,Rideau-Vanier - Ward 12,Rideau-Rockcliffe - Ward 13,Somerset - Ward 14,Kitchissippi - Ward 15,River -Ward 16,Capital - Ward 17,Alta Vista - Ward 18,Orléans South-Navan - Ward 19,Osgoode - Ward 20,Rideau-Jock - Ward 21,Riverside South-Findlay Creek - Ward 22,Kanata South - Ward 23,Barrhaven East - Ward 24
COVID-19 - Emergency and recovery benefits (%),3.5,2.9,2.9,3.5,2.7,2.3,2.6,3.9,4,4,6.2,4.5,5.3,3.7,3.5,1.9,4.6,2.6,4.1,3.5,2.5,2.2,3.4,3.1,4.2
Total - Total income groups in 2020 for the population aged 15 years and over in private households - 25% sample data,834140,40600,38040,38620,33700,20690,35610,41425,43355,33370,39990,28285,39895,31930,37085,31735,38740,32685,36855,38605,24850,22255,25330,39665,40825
Without total income,34960,1445,1360,1880,1880,690,1445,1695,1590,1375,2115,1285,1605,1295,915,1145,1690,1225,1655,1740,875,760,1370,1575,2355
With total income,799175,39155,36680,36735,31825,19995,34160,39730,41760,31995,37870,27000,38290,30635,36170,30590,37050,31465,35195,36865,23980,21495,23955,38090,38470
"    Under $10,000 (including loss)",64505,2770,2465,3390,3315,1800,2855,3110,3180,2450,3395,2130,3170,2380,2045,1830,3085,2915,2910,2825,1770,1565,2145,3110,3900
"    $10,000 to $19,999",83015,3620,3405,3385,3305,1875,3195,4515,4405,3605,4790,2900,5005,3580,3820,2425,4430,2935,4035,3405,2405,1930,2190,3695,4135
"    $20,000 to $29,999",99005,3935,3865,3710,3085,1995,3345,5965,5775,4425,6120,3820,6455,4545,5170,3180,5215,3750,5160,3880,2365,2145,2460,4090,4540
"    $30,000 to $39,999",82480,3510,3560,3370,2835,1575,2630,4880,5135,3745,4950,3110,4770,3365,4080,2485,4675,3025,4060,3075,2120,1840,2070,3465,4140
"    $40,000 to $49,999",71755,3460,3640,3020,2435,1675,2745,3965,4280,3200,3690,2925,3560,3035,3040,2370,3645,2495,3590,2865,2100,1860,1665,3390,3115
"    $50,000 to $59,999",65690,3685,3180,3110,2090,1570,2530,3345,3955,2900,3100,2365,3365,2410,2885,2130,3055,2275,2745,3140,2030,1600,1850,3300,3090
